benchmark,family,result
mbo_E3E16,20161105-Sturm-MBO,timeout
mbo_E3E17,20161105-Sturm-MBO,timeout
mbo_E3E18,20161105-Sturm-MBO,unsat
mbo_E3E19,20161105-Sturm-MBO,unsat
mbo_E3E20,20161105-Sturm-MBO,unsat
mbo_E3E21,20161105-Sturm-MBO,unsat
mbo_E3E22,20161105-Sturm-MBO,unsat
mbo_E3E23,20161105-Sturm-MBO,unsat
mbo_E3E24,20161105-Sturm-MBO,unsat
mbo_E3E25,20161105-Sturm-MBO,unsat
mbo_E3E26,20161105-Sturm-MBO,unsat
mbo_E3E27,20161105-Sturm-MBO,unsat
mbo_E3E28,20161105-Sturm-MBO,unsat
mbo_E3E4,20161105-Sturm-MBO,unsat
mbo_E3E5,20161105-Sturm-MBO,unsat
mbo_E3E6,20161105-Sturm-MBO,unsat
mbo_E3E7,20161105-Sturm-MBO,unsat
mbo_E3E8,20161105-Sturm-MBO,unsat
mbo_E3E9,20161105-Sturm-MBO,timeout
mbo_E3,20161105-Sturm-MBO,unsat
mbo_E4E10,20161105-Sturm-MBO,timeout
mbo_E4E11,20161105-Sturm-MBO,timeout
mbo_E4E12,20161105-Sturm-MBO,timeout
mbo_E4E13,20161105-Sturm-MBO,timeout
mbo_E4E14,20161105-Sturm-MBO,timeout
mbo_E4E15,20161105-Sturm-MBO,timeout
mbo_E4E16,20161105-Sturm-MBO,timeout
mbo_E4E17,20161105-Sturm-MBO,timeout
mbo_E4E18,20161105-Sturm-MBO,timeout
mbo_E4E19,20161105-Sturm-MBO,timeout
mbo_E4E20,20161105-Sturm-MBO,timeout
mbo_E4E21,20161105-Sturm-MBO,timeout
mbo_E4E22,20161105-Sturm-MBO,timeout
mbo_E4E23,20161105-Sturm-MBO,unsat
mbo_E4E24,20161105-Sturm-MBO,unsat
mbo_E4E25,20161105-Sturm-MBO,timeout
mbo_E4E26,20161105-Sturm-MBO,unsat
mbo_E4E27,20161105-Sturm-MBO,unsat
mbo_E4E28,20161105-Sturm-MBO,unsat
mbo_E4E5,20161105-Sturm-MBO,unsat
mbo_E4E6,20161105-Sturm-MBO,unsat
mbo_E4E7,20161105-Sturm-MBO,unsat
mbo_E4E8,20161105-Sturm-MBO,timeout
mbo_E4E9,20161105-Sturm-MBO,timeout
mbo_E4,20161105-Sturm-MBO,unsat
mbo_E5E10,20161105-Sturm-MBO,timeout
mbo_E5E11,20161105-Sturm-MBO,unsat
mbo_E5E12,20161105-Sturm-MBO,unsat
mbo_E5E13,20161105-Sturm-MBO,unsat
mbo_E5E15,20161105-Sturm-MBO,unsat
mbo_E5E16,20161105-Sturm-MBO,unsat
mbo_E5E17,20161105-Sturm-MBO,unsat
mbo_E5E18,20161105-Sturm-MBO,timeout
mbo_E5E19,20161105-Sturm-MBO,unsat
mbo_E5E20,20161105-Sturm-MBO,unsat
mbo_E5E21,20161105-Sturm-MBO,unsat
mbo_E5E22,20161105-Sturm-MBO,unsat
mbo_E5E23,20161105-Sturm-MBO,unsat
mbo_E5E24,20161105-Sturm-MBO,unsat
mbo_E5E25,20161105-Sturm-MBO,unsat
mbo_E5E26,20161105-Sturm-MBO,unsat
mbo_E5E27,20161105-Sturm-MBO,unsat
mbo_E5E28,20161105-Sturm-MBO,unsat
mbo_E5E6,20161105-Sturm-MBO,unsat
mbo_E5E7,20161105-Sturm-MBO,unsat
mbo_E5E8,20161105-Sturm-MBO,unsat
mbo_E5E9,20161105-Sturm-MBO,unsat
mbo_E5,20161105-Sturm-MBO,unsat
mbo_E6E10,20161105-Sturm-MBO,timeout
mbo_E6E11,20161105-Sturm-MBO,unsat
mbo_E6E12,20161105-Sturm-MBO,unsat
mbo_E6E13,20161105-Sturm-MBO,unsat
mbo_E6E14,20161105-Sturm-MBO,timeout
mbo_E6E15,20161105-Sturm-MBO,unsat
mbo_E6E16,20161105-Sturm-MBO,unsat
mbo_E6E17,20161105-Sturm-MBO,unsat
mbo_E6E18,20161105-Sturm-MBO,timeout
mbo_E6E19,20161105-Sturm-MBO,timeout
mbo_E6E20,20161105-Sturm-MBO,timeout
mbo_E6E21,20161105-Sturm-MBO,timeout
mbo_E6E22,20161105-Sturm-MBO,timeout
mbo_E6E23,20161105-Sturm-MBO,unsat
mbo_E6E24,20161105-Sturm-MBO,unsat
mbo_E6E25,20161105-Sturm-MBO,timeout
mbo_E6E26,20161105-Sturm-MBO,unsat
mbo_E6E27,20161105-Sturm-MBO,unsat
mbo_E6E28,20161105-Sturm-MBO,unsat
mbo_E6E7,20161105-Sturm-MBO,unsat
mbo_E6E8,20161105-Sturm-MBO,unsat
mbo_E6E9,20161105-Sturm-MBO,unsat
